path;identifier_length;identifier_frequency_per_file;number_of_separated_words;word_frequency_per_file;percent_of_word2vec_words;distance_to_class_name;distance_to_file_context
survey_source/DeviceLoginManager.java/deviceAuthTargetUserId;22;1;5;520;100;46;57
survey_source/DeviceLoginManager.java/instance;8;1;1;200;100;47;57
survey_source/DeviceLoginManager.java/getInstance;11;1;2;250;100;54;68
survey_source/DeviceLoginManager.java/setDeviceRedirectUri;20;1;4;475;100;53;55
survey_source/DeviceLoginManager.java/uri;3;1;1;500;100;81;68
survey_source/DeviceLoginManager.java/getDeviceRedirectUri;20;1;4;500;100;54;57
survey_source/DeviceLoginManager.java/setDeviceAuthTargetUserId;25;1;6;467;100;48;59
survey_source/DeviceLoginManager.java/targetUserId;12;1;3;500;100;45;59
survey_source/DeviceLoginManager.java/getDeviceAuthTargetUserId;25;1;6;483;100;48;61
survey_source/DeviceLoginManager.java/createLoginRequest;18;1;3;167;100;49;50
survey_source/DeviceLoginManager.java/permissions;11;1;1;100;100;79;72
survey_source/DeviceLoginManager.java/request;7;1;1;200;100;57;53
survey_source/DeviceLoginManager.java/redirectUri;11;1;2;450;100;62;48
survey_source/DeviceLoginManager.java/deviceTargetUserId;18;1;4;575;100;42;57
